titulo,año,duracion,pais,directores,guionistas,musicos,fotografos,actores,productores,generos,nota,votos,votacion
Tren a Busan ,2016,118 min.,Corea del Sur,['Yeon Sang-ho'],"['Yeon Sang-ho', 'Park Joo-suk']",['Young-gyu Jang'],['Lee Hyung-deok'],"['Gong Yoo', 'Ma Dong-seok', 'Ahn So-hee', 'Kim Soo-an', 'Jung Yu-mi', 'Kim Eui-sung', 'Choi Woo-sik', 'Shim Eun-kyung', 'Choi Gwi-hwa', 'Jang Hyuk-jin', 'Ye Soo-jung', 'Park Myeong-Shin', 'Jeong Seok-yong', 'Chang-hwan Kim', 'Kim Jae-rok', 'Seong-soo Han', 'Hye-Yeong Moon', 'Do-im Woo']","['Next Entertainment World', 'RedPeter Film']","['Terror', 'Acción', 'Ciencia ficción', 'Drama', 'Trenes / Metros', 'Zombis', 'Familia']",6.8,27588.0,6
Moonlight ,2016,111 min.,Estados Unidos,['Barry Jenkins'],"['Barry Jenkins', 'Tarell Alvin McCraney']",['Nicholas Britell'],['James Laxton'],"['Trevante Rhodes', 'Naomie Harris', 'Mahershala Ali', 'Ashton Sanders', 'André Holland', 'Alex R. Hibbert', 'Janelle Monáe', 'Jharrel Jerome', 'Shariff Earp', 'Duan Sanderson', 'Edson Jean']","['A24', 'Plan B Entertainment', 'PASTEL']","['Drama', 'Infancia', 'Adolescencia', 'Acoso escolar / Bullying', 'Homosexualidad', 'Drogas', 'Años 80', 'Años 90', 'Cine independiente USA']",6.8,30871.0,6
Black Mirror: La ciencia de matar (TV),2016,60 min.,Reino Unido,['Jakob Verbruggen'],['Charlie Brooker'],"['Ben Salisbury', 'Geoff Barrow']",['Ruben Impens'],"['Malachi Kirby', 'Madeline Brewer', 'Ariane Labed', 'Sarah Snook', 'Michael Kelly', 'Kola Bokinni', 'Lae Gutierrez', 'Loreece Harrison', 'Phil Hodges', 'Paul Low-Hang', 'Kavé Niku', 'Toby Oliver', 'Brent Phebey', 'Thomas Thoroe']","['Netflix', 'House of Tomorrow', 'Netflix']","['Bélico', 'Ciencia ficción', 'Thriller', 'Acción', 'Thriller futurista', 'Ejército', 'Episodio de TV']",6.7,16862.0,6
Tarde para la ira ,2016,89 min.,España,['Raúl Arévalo'],"['Raúl Arévalo', 'David Pulido']","['Lucio Godoy', 'Vanessa Garde']",['Arnau Valls Colomer'],"['Antonio de la Torre', 'Luis Callejo', 'Ruth Díaz', 'Manolo Solo', 'Alicia Rubio', 'Raúl Jiménez', 'Font García', 'Pilar Gómez', 'Chani Martín', 'Paco Benjumea', 'Berta Hernández', 'Alfonso Blanco', 'Ramiro Alonso', 'Inma Sancho', 'Chema Adeva', 'Juan Vinuesa', 'Chema del Barco']","['La Canica Films', 'RTVE']","['Thriller', 'Venganza', 'Crimen']",6.9,35907.0,6
The Neon Demon ,2016,117 min.,Dinamarca,['Nicolas Winding Refn'],"['Nicolas Winding Refn', 'Mary Laws', 'Polly Stenham']","['Cliff Martinez', 'Sia']",['Natasha Braier'],"['Elle Fanning', 'Karl Glusman', 'Jena Malone', 'Bella Heathcote', 'Abbey Lee', 'Desmond Harrington', 'Christina Hendricks', 'Keanu Reeves', 'Charles Baker', 'Jamie Clayton', 'Stacey Danger', 'Rebecca Dayan', 'Vanessa Martinez', 'Taylor Marie Hill', 'Alessandro Nivola']","['Space Rocket Nation', 'Vendian Entertainment', 'Bold Films', 'Wild Bunch', 'Gaumont']","['Terror', 'Thriller', 'Moda', 'Celos', 'Thriller psicológico']",5.6,10215.0,6
Manchester frente al mar ,2016,135 min.,Estados Unidos,['Kenneth Lonergan'],['Kenneth Lonergan'],['Lesley Barber'],['Jody Lee Lipes'],"['Casey Affleck', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges', 'Tate Donovan', 'Erica McDermott', 'Matthew Broderick', 'Gretchen Mol', 'Kara Hayward', 'Susan Pourfar', 'Christian J. Mallen', 'Frankie Imbergamo', 'Shawn Fitzgibbon', 'Richard Donelly', 'Mark Burzenski', 'Mary Mallen', 'Stephen Henderson', 'Ruibo Qian']","['Amazon Prime Video', 'K Period Media', 'B Story', 'CMP', 'Pearl Street Films']","['Drama', 'Familia', 'Cine independiente USA']",7.1,30089.0,6
Buscando a Dory ,2016,103 min.,Estados Unidos,"['Andrew Stanton', 'Angus MacLane']","['Andrew Stanton', 'Victoria Strouse', 'Andrew Stanton']","['Thomas Newman', 'Sia']","['Jeremy Lasky', 'Ian Megibben']",[],"['Pixar Animation Studios', 'Walt Disney Pictures']","['Animación', 'Aventuras', 'Comedia', 'Aventuras marinas', 'Secuela', 'Pixar', '3-D', 'Cine familiar']",6.6,29149.0,6
X-Men: Apocalipsis ,2016,143 min.,Estados Unidos,['Bryan Singer'],"['Simon Kinberg', 'Michael Dougherty', 'Dan Harris', 'Bryan Singer', 'Simon Kinberg', 'Jack Kirby']",['John Ottman'],['Newton Thomas Sigel'],"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac', 'Rose Byrne', 'Evan Peters', 'Sophie Turner', 'Tye Sheridan', 'Josh Helman', 'Kodi Smit-McPhee', 'Lucas Till', 'Alexandra Shipp', 'Olivia Munn', 'Lana Condor', 'Hugh Jackman', 'Stan Lee', 'Ben Hardy', 'Monique Ganderton', 'Fraser Aitcheson', 'Al Maini', 'Ally Sheedy', 'Anthony Konechny', 'Manuel Sinor', 'Joanne Boland', 'Manuel Tadros', 'Aladeen Tawfeek', 'Carolina Bartczak', 'T.J. McGibbon', 'Sebastian Naskrent', 'Boris Sichon', 'Martin Skorek', 'Ziad Ghanem', 'Tómas Lemarquis', 'James Loye', 'Zehra Leverman', 'Joan Lee', 'Stephen Bogaert', 'John Bourgeois', 'Conrad Coates', 'Dan Lett', 'Adrian G. Griffiths', 'Shawn Campbell', 'Joe Cobden', 'Naomi Frenette', 'Raphaël Dury', 'Mari-Pier Gaudet', 'Allen Keng', 'Tsu-Ching Yu', 'Desmond Campbell', 'John Ottman', 'Zeljko Ivanek', 'Christopher B. MacCabe', 'Chris Cavener', 'Joseph Bellerose', 'Philippe Hartmann', 'Vlad Alexis']","['20th Century Fox', 'Marvel Entertainment', 'TSG Entertainment', 'Bad Hat Harry Productions', 'Kinberg Genre', ""Donners' Company""]","['Ciencia ficción', 'Acción', 'Años 80', 'Secuela', 'Superhéroes', 'Cómic', 'Marvel Comics']",5.9,27912.0,6
No respires ,2016,88 min.,Estados Unidos,['Fede Álvarez'],"['Fede Álvarez', 'Rodo Sayagues']",['Roque Baños'],['Pedro Luque'],"['Jane Levy', 'Dylan Minnette', 'Stephen Lang', 'Daniel Zovatto', 'Sergej Onopko', 'Jane May Graves', 'Katia Bokor', 'Christian Zagia', 'Emma Bercovici', 'Brak Little', 'Michael Haase', 'Franciska Töröcsik']","['Sony Pictures Entertainment (SPE)', 'Ghost House Pictures', 'Good Universe', 'Stage 6 Films', 'Sam Raimi']","['Thriller', 'Terror', 'Crimen', 'Robos & Atracos', 'Thriller psicológico', 'Discapacidad', 'Discapacidad visual']",6.4,26802.0,6
Black Mirror: Playtesting (TV),2016,57 min.,Reino Unido,['Dan Trachtenberg'],['Charlie Brooker'],['Bear McCreary'],['Aaron Morton'],"['Wyatt Russell', 'Hannah John-Kamen', 'Wunmi Mosaku', 'Ken Yamamura', 'Elizabeth Moynihan', 'Jamie Paul']","['Netflix', 'House of Tomorrow', 'Netflix']","['Ciencia ficción', 'Terror', 'Videojuego', 'Episodio de TV']",6.7,20051.0,6
Hi Stranger (C),2016,3 min.,Reino Unido,['Kirsten Lepore'],[],[],[],['Garrett Davis'],[],"['Animación', 'Drama', 'Stop Motion', 'Cortometraje (animación)']",4.8,284.0,6
Elle ,2016,130 min.,Francia,['Paul Verhoeven'],"['David Birke', 'Philippe Djian']",['Anne Dudley'],['Stéphane Fontaine'],"['Isabelle Huppert', 'Laurent Lafitte', 'Anne Consigny', 'Charles Berling', 'Virginie Efira', 'Judith Magre', 'Christian Berkel', 'Jonas Bloquet', 'Alice Isaaz', 'Vimala Pons', 'Raphaël Lenglet', 'Arthur Mazet', 'Fleur Geffrier', 'Lucas Prisor', 'Hugo Conzelmann', 'Stéphane Bak']","['SBS Productions', 'Entre Chien et Loup']","['Thriller', 'Drama', 'Thriller psicológico', 'Abusos sexuales']",6.4,18555.0,6
Rogue One: Una historia de Star Wars ,2016,133 min.,Estados Unidos,['Gareth Edwards'],"['Chris Weitz', 'Tony Gilroy', 'John Knoll', 'Gary Whitta', 'George Lucas']",['Michael Giacchino'],['Greig Fraser'],"['Felicity Jones', 'Diego Luna', 'Ben Mendelsohn', 'Donnie Yen', 'Riz Ahmed', 'Jiang Wen', 'Mads Mikkelsen', 'Alan Tudyk', 'Forest Whitaker', 'Valene Kane', 'Guy Henry', 'Alistair Petrie', ""Genevieve O'Reilly"", 'Jimmy Smits', 'Daniel Mays', 'Jonathan Aris', 'Ben Daniels', 'Ian McElhinney', 'Spencer Wilding', 'Topo Wresniwiro', 'Ariyon Bakare', 'Beau Gadsdon', 'Fares Fares']",['Lucasfilm'],"['Ciencia ficción', 'Acción', 'Bélico', 'Aventura espacial', 'Spin-off', 'Star Wars', '3-D']",6.9,46509.0,6
Banking on Bitcoin ,2016,90 min.,Estados Unidos,['Christopher Cannucciari'],"['Christopher Cannucciari', 'Prichard Smith']",['Ben Prunty'],['Christopher Cannucciari'],"['Wences Casares', 'Nathanial Popper', 'Alex Winter', 'Cameron Winklevoss', 'Tyler Winklevoss', 'Rand Paul', 'Andy Greenberg', 'Jeffrey A. Tucker', 'Gavin Andresen', 'Nick Spanos', 'Paul Vigna', 'Chris Tarbell', 'Rakesh Motwani', 'Erik Voorhees', 'Michael Casey', 'Charlie Shrem']","['Periscope Entertainment', 'Downtown Community Television Center', 'Dynamic Range']","['Documental', 'Internet / Informática']",6.1,328.0,6
¿Tenía que ser él? ,2016,111 min.,Estados Unidos,['John Hamburg'],"['John Hamburg', 'Ian Helfer', 'Jonah Hill', 'John Hamburg', 'Ian Helfer']",['Theodore Shapiro'],['Kris Kachikis'],"['Bryan Cranston', 'James Franco', 'Zoey Deutch', 'Megan Mullally', 'Griffin Gluck', 'Keegan-Michael Key', 'Andrew Rannells', 'Zack Pearlman', 'Adam DeVine', 'Cedric the Entertainer', 'Kaley Cuoco', 'Jacob Kemp', 'Steve Aoki', 'Gene Simmons', 'Paul Stanley', 'Elon Musk', 'Jee Young Han']","['20th Century Fox', '21 Laps Entertainment', 'Red Hour']","['Comedia', 'Familia', 'Navidad']",5.0,5724.0,6
Piper (C),2016,6 min.,Estados Unidos,['Alan Barillaro'],['Alan Barillaro'],['Adrian Belew'],"['Erik Smitt', 'Derek Williams']",[],['Pixar Animation Studios'],"['Animación', 'Aventuras', 'Aves / Pájaros', '3-D', 'Pixar', 'Cortometraje (animación)']",7.5,10428.0,6
Black Mirror: Cállate y baila (TV),2016,52 min.,Reino Unido,['James Watkins'],"['Charlie Brooker', 'William Bridges']",['Alex Heffes'],['Tim Maurice-Jones'],"['Alex Lawther', 'Jerome Flynn', 'Natasha Little', 'Hannah Steele', 'Camilla Power', 'Paul Bazely', 'Sarah Beck Mather', 'Frankie Wilson', 'Leanne Best', 'Susannah Doyle']","['Netflix', 'House of Tomorrow', 'Netflix']","['Thriller', 'Internet / Informática', 'Episodio de TV']",7.2,20585.0,6
Del revés (Inside Out) ,2015,94 min.,Estados Unidos,"['Pete Docter', 'Ronaldo Del Carmen']","['Pete Docter', 'Meg LeFauve', 'Josh Cooley', 'Pete Docter', 'Ronaldo Del Carmen']",['Michael Giacchino'],"['Pixar Animation Studios', 'Walt Disney Pictures']",[],"['Pixar Animation Studios', 'Walt Disney Pictures']","['Animación', 'Fantástico', 'Aventuras', 'Comedia', 'Infancia', 'Familia', 'Pixar', '3-D']",7.8,80888.0,6
Mi gran noche ,2015,100 min.,España,['Álex de la Iglesia'],"['Álex de la Iglesia', 'Jorge Guerricaechevarría']",['Joan Valent'],['Ángel Amorós'],"['Raphael', 'Mario Casas', 'Pepón Nieto', 'Blanca Suárez', 'Carlos Areces', 'Luis Callejo', 'Carmen Machi', 'Jaime Ordóñez', 'Santiago Segura', 'Enrique Villén', 'Hugo Silva', 'Carolina Bang', 'Terele Pávez', 'Carmen Ruiz', 'Marta Guerras', 'Marta Castellote', 'Tomás Pozzi', 'Ana Polvorosa', 'Toni Acosta', 'Luis Fernández', 'Alberto Chaves', 'Ignatius Farray', 'Eduardo Casanova', 'Daniel Guzmán', 'Zoe Berriatúa', 'Antonio Velázquez', 'Mónica Aragón', 'Enrique Martínez', 'Lucía González', 'Carolo Ruiz', 'Alberto Bang', 'Jonás Beramí', 'Pedro Nistal', 'Álvaro Manso', 'Manuel Tallafé']","['Enrique Cerezo P.C.', 'Telefónica Studios', 'RTVE', 'Canal+ España']","['Comedia', 'Comedia negra', 'Televisión']",5.0,16975.0,6
The Diary of a Teenage Girl ,2015,102 min.,Estados Unidos,['Marielle Heller'],"['Marielle Heller', 'Phoebe Gloeckner']",['Nate Heller'],['Brandon Trost'],"['Bel Powley', 'Alexander Skarsgård', 'Kristen Wiig', 'Christopher Meloni', 'Margarita Levieva', 'Madeleine Waters', 'Abby Wait', 'Quinn Nagle', 'Austin Lyon', 'Miranda Bailey', 'Natalie Stephany Aguilar']","['Caviar Films', 'Cold Iron Pictures']","['Drama', 'Comedia', 'Años 70', 'Adolescencia', 'Familia', 'Comedia dramática', 'Cine independiente USA']",6.3,4610.0,6
Los juegos del hambre: Sinsajo. Parte 2 ,2015,137 min.,Estados Unidos,['Francis Lawrence'],"['Peter Craig', 'Danny Strong', 'Suzanne Collins']",['James Newton Howard'],['Jo Willems'],"['Jennifer Lawrence', 'Josh Hutcherson', 'Sam Claflin', 'Liam Hemsworth', 'Donald Sutherland', 'Julianne Moore', 'Natalie Dormer', 'Gwendoline Christie', 'Philip Seymour Hoffman', 'Robert Knepper', 'Stef Dawson', 'Elden Henson', 'Evan Ross', 'Mahershala Ali', 'Wes Chatham', 'Omid Abtahi', 'Woody Harrelson', 'Elizabeth Banks', 'Stanley Tucci', 'Toby Jones', 'Desmond Phillips', 'Willow Shields']","['Color Force', 'Lionsgate']","['Ciencia ficción', 'Aventuras', 'Acción', 'Thriller', 'Thriller futurista', 'Supervivencia', 'Distopía', 'Young Adult', 'Secuela']",5.6,29010.0,6
8 Bit Cinema: Titanic (C),2015,4 min.,Estados Unidos,['David Dutton'],['David Dutton'],['Henry Dutton'],"['CineFix', 'YouTube']",[],"['CineFix', 'YouTube']","['Animación', 'Romance', 'Aventuras', 'Pixel Art', 'Fan Film', 'Titanic', 'Cortometraje (animación)']",4.9,300.0,6
Sicario ,2015,121 min.,Estados Unidos,['Denis Villeneuve'],['Taylor Sheridan'],['Jóhann Jóhannsson'],['Roger Deakins'],"['Emily Blunt', 'Benicio del Toro', 'Josh Brolin', 'Victor Garber', 'Jon Bernthal', 'Jeffrey Donovan', 'Daniel Kaluuya', 'Maximiliano Hernández', 'Dylan Kenin', 'Frank Powers', 'Bernardo P. Saracino', 'Edgar Arreola', 'Marty Lindsey', 'Julio Cedillo']","['Lionsgate', 'Black Label Media']","['Thriller', 'Acción', 'Drama', 'Crimen', 'Drogas', 'Policíaco']",6.9,34460.0,6
Operación U.N.C.L.E. ,2015,116 min.,Estados Unidos,['Guy Ritchie'],"['Guy Ritchie', 'Lionel Wigram', 'Sam Rolfe']",['Daniel Pemberton'],['John Mathieson'],"['Henry Cavill', 'Armie Hammer', 'Alicia Vikander', 'Elizabeth Debicki', 'Hugh Grant', 'Jared Harris', 'Luca Calvani', 'Sylvester Groth', 'Christian Berkel', 'Misha Kuznetsov', 'Guy Williams', 'David Beckham', 'Marianna Di Martino', 'Julian Michael Deuster', 'Andrea Cagliesi', 'Riccardo Calvanese', 'Peter Stark', 'David Menkin', 'Pablo Scola', 'Cesare Taurasi', 'Riccardo Flammini', 'Francesco De Vito', 'Luca Della Valle', 'Simona Caparrini', 'Alexander Ananasso', 'Joana Metrass', 'Gabriel Lo Giudice', 'Elbio Bonsaglio', 'Michael Peluso', 'Alan Turkington', 'Sérgio Marini']","['Warner Bros.', 'RatPac-Dune Entertainment', 'Wigram Productions', 'Davis Entertainment']","['Acción', 'Thriller', 'Espionaje', 'Años 60', 'Guerra Fría', 'Buddy Film', 'Basada en una serie']",6.4,26771.0,6
Joy ,2015,116 min.,Estados Unidos,['David O. Russell'],"['David O. Russell', 'Annie Mumolo']","['David Campbell', 'West Thordson']",['Linus Sandgren'],"['Jennifer Lawrence', 'Robert De Niro', 'Bradley Cooper', 'Isabella Rossellini', 'Diane Ladd', 'Edgar Ramirez', 'Virginia Madsen', 'Elisabeth Röhm', 'Dascha Polanco', 'Jimmy Jean-Louis', 'Madison Wolfe', 'Erica McDermott', 'Isabella Crovetti-Cramp', 'Arthur Hiou', 'Damien Di Paola', 'Laura Wright', 'Donna Mills', 'Ken Howard', 'John Enos III', 'Marianne Leone', 'Drena De Niro', 'Melissa Rivers', 'Maurice Benard', 'Susan Lucci', 'Gia Gadsby', 'Alexander Cook', 'Aundrea Gadsby']","['20th Century Fox', 'Annapurna Pictures', 'Davis Entertainment']","['Drama', 'Comedia', 'Biográfico', 'Trabajo/empleo', 'Familia', 'Comedia dramática']",5.8,15611.0,6
Star Wars: El despertar de la Fuerza ,2015,135 min.,Estados Unidos,['J.J. Abrams'],"['J.J. Abrams', 'Lawrence Kasdan', 'Michael Arndt', 'George Lucas']",['John Williams'],['Daniel Mindel'],"['Daisy Ridley', 'John Boyega', 'Harrison Ford', 'Adam Driver', 'Oscar Isaac', 'Carrie Fisher', 'Peter Mayhew', 'Domhnall Gleeson', 'Max von Sydow', 'Gwendoline Christie', ""Lupita Nyong'o"", 'Andy Serkis', 'Anthony Daniels', 'Mark Hamill', 'Greg Grunberg', 'Kenny Baker', 'Simon Pegg', 'Christina Chong', 'Miltos Yerolemou', 'Ken Leung', 'Thomas Brodie-Sangster', 'Harriet Walter', 'Iko Uwais', 'Yayan Ruhian', 'Warwick Davis', 'Jessica Henwick', 'Daniel Craig', 'Billie Lourd', 'Judah Friedlander', 'Liang Yang', 'Hannah John-Kamen']","['Lucasfilm', 'Bad Robot']","['Ciencia ficción', 'Aventuras', 'Aventura espacial', 'Star Wars', 'Secuela', 'Reboot', '3-D']",6.7,64224.0,6
Mad Max: Furia en la carretera ,2015,120 min.,Australia,['George Miller'],"['Nick Lathouris', 'Brendan McCarthy', 'George Miller']",['Junkie XL'],['John Seale'],"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Angus Sampson', 'Zöe Kravitz', 'Rosie Huntington-Whiteley', 'Nathan Jones', 'Riley Keough', 'Abbey Lee', 'Courtney Eaton', 'Josh Helman', 'Megan Gale', 'Melissa Jaffer', 'Stephen Dunlevy']","['Kennedy Miller Productions', 'Warner Bros.', 'Village Roadshow', 'RatPac-Dune Entertainment', 'Warner Bros.']","['Acción', 'Ciencia ficción', 'Futuro postapocalíptico', 'Road Movie', 'Western futurista', 'Reboot', 'Película de culto']",7.1,67826.0,6
Una historia real ,2015,100 min.,Estados Unidos,['Rupert Goold'],"['Dave Kajganich', 'Michael Finkel']",['Marco Beltrami'],['Masanobu Takayanagi'],"['Jonah Hill', 'James Franco', 'Felicity Jones', 'Ethan Suplee', 'Gretchen Mol', 'Robert John Burke', 'Maria Dizzia', 'Genevieve Angelson', 'Betty Gilpin']","['Regency Enterprises', 'Plan B Entertainment']","['Drama', 'Thriller', 'Periodismo', 'Basado en hechos reales']",5.5,6024.0,6
La juventud ,2015,118 min.,Italia,['Paolo Sorrentino'],['Paolo Sorrentino'],['David Lang'],['Luca Bigazzi'],"['Michael Caine', 'Harvey Keitel', 'Rachel Weisz', 'Paul Dano', 'Jane Fonda', 'Tom Lipinski', 'Poppy Corby-Tuech', 'Madalina Ghenea', 'Emilia Jones', 'Mark Kozelek', 'Anabel Kutay', 'Rebecca Calder', 'Ian Keir Attard', 'Roly Serrano']","['Indigo Film', 'Medusa Produzione', 'C-Films AG', 'Bis Films', 'Pathé', 'Number 9 Films']","['Drama', 'Vejez / Madurez', 'Amistad']",7.0,19912.0,6
Eat My Shit (C),2015,3 min.,España,['Eduardo Casanova'],['Eduardo Casanova'],['César Maderal'],"['Ana Polvorosa', 'Itziar Castro']","['Ana Polvorosa', 'Itziar Castro']",['The Other Side Films'],"['Drama', 'Comedia', 'Comedia negra', 'Discapacidad', 'Cortometraje']",3.4,2581.0,6
Deep Web ,2015,89 min.,Estados Unidos,['Alex Winter'],['Alex Winter'],['Pedro Bromfman'],"['Anghel Decca', 'Joe DeSalvo']","['Andy Greenberg', 'Cody Wilson', 'Joshua L. Dratel', 'Todd Shipley', 'Kirk Ulbricht', 'Lyn Ulbricht', 'Keanu Reeves']","['BOND/360', 'Trouper Productions', 'Zipper Bros Films']","['Documental', 'Internet / Informática', 'Drogas', 'Cine independiente USA']",6.3,851.0,6
Green Room ,2015,94 min.,Estados Unidos,['Jeremy Saulnier'],['Jeremy Saulnier'],['Sean Porter'],"['Patrick Stewart', 'Anton Yelchin', 'Imogen Poots', 'Alia Shawkat', 'Mark Webber', 'Taylor Tunes', 'Joe Cole', 'Brent Werzner', 'October Moore', 'Cody Burns', 'Mason Knight', 'Eric Edelstein', 'Audrey Walker', 'Samuel Summer', 'Kasey Brown', 'Kai Lennox', 'Macon Blair']","['Patrick Stewart', 'Anton Yelchin', 'Imogen Poots', 'Alia Shawkat', 'Mark Webber', 'Taylor Tunes', 'Joe Cole', 'Brent Werzner', 'October Moore', 'Cody Burns', 'Mason Knight', 'Eric Edelstein', 'Audrey Walker', 'Samuel Summer', 'Kasey Brown', 'Kai Lennox', 'Macon Blair']","['Broad Green Pictures', 'Film Science']","['Thriller', 'Crimen', 'Música', 'Cine independiente USA']",6.1,12827.0,6
La cumbre escarlata ,2015,119 min.,Estados Unidos,['Guillermo del Toro'],"['Guillermo del Toro', 'Matthew Robbins']",['Fernando Velázquez'],['Dan Laustsen'],"['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam', 'Doug Jones', 'Javier Botet', 'Jim Beaver', 'Burn Gorman', 'Leslie Hope', 'Kimberly-Sue Murray', 'Emily Coutts', 'Gillian Ferrier', 'Matia Jackett', 'Martin Julien']","['Legendary Pictures', 'Warner Bros.']","['Terror', 'Romance', 'Fantástico', 'Thriller', 'Sobrenatural', 'Fantasmas', 'Casas encantadas']",5.8,20617.0,6
La gran apuesta ,2015,123 min.,Estados Unidos,['Adam McKay'],"['Adam McKay', 'Charles Randolph', 'Michael Lewis']",['Nicholas Britell'],['Barry Ackroyd'],"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'John Magaro', 'Finn Wittrock', 'Brad Pitt', 'Hamish Linklater', 'Rafe Spall', 'Jeremy Strong', 'Marisa Tomei', 'Melissa Leo', 'Stanley Wong', 'Byron Mann', 'Tracy Letts', 'Karen Gillan', 'Max Greenfield', 'Margot Robbie', 'Selena Gomez', 'Richard Thaler', 'Anthony Bourdain']","['Plan B Entertainment', 'Regency Enterprises']","['Drama', 'Comedia dramática', 'Crisis económica 2008', 'Bolsa & Negocios', 'Historias cruzadas', 'Basado en hechos reales']",6.8,34259.0,6
Jurassic World ,2015,124 min.,Estados Unidos,['Colin Trevorrow'],"['Colin Trevorrow', 'Rick Jaffa', 'Amanda Silver', 'Derek Connolly', 'Michael Crichton', 'Amanda Silver', 'Rick Jaffa']",['Michael Giacchino'],['John Schwartzman'],"['Chris Pratt', 'Bryce Dallas Howard', 'Nick Robinson', ""Vincent D'Onofrio"", 'Ty Simpkins', 'Irrfan Khan', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Judy Greer', 'Lauren Lapkus', 'Brian Tee', 'Katie McGrath', 'Andy Buckley', 'Jimmy Fallon', 'James DuMont', 'Colin Trevorrow', 'Matt Burke', 'Eric Edelstein', 'Courtney J. Clark', 'Kelly Washington', 'Michael Papajohn', 'Anna Talakkottur', 'Chad Randall', 'Timothy Eulich', 'Brad Bird', 'Kevin Foster', 'Matty Cardarople', 'Chloe Perrin', 'Patrick Crowley', 'Yvonne Angulo', 'Isaac Keys', 'Gary Weeks']","['Universal Pictures', 'Amblin Entertainment', 'Legendary Pictures', 'The Kennedy/Marshall Company', 'Fuji TV', 'Dentsu Inc']","['Ciencia ficción', 'Acción', 'Aventuras', 'Dinosaurios', 'Secuela', '3-D']",5.8,54499.0,6
Fatima ,2015,79 min.,Francia,['Philippe Faucon'],['Philippe Faucon'],['Laurent Fenart'],"['Soria Zeroual', 'Zita Hanrot', 'Mehdi Senoussi', 'Franck Andrieux', 'Yolanda Mpele']","['Soria Zeroual', 'Zita Hanrot', 'Mehdi Senoussi', 'Franck Andrieux', 'Yolanda Mpele']","['Istiqlal Films', 'arte France Cinéma', 'Possibles Média', 'Rhône-Alpes Cinéma']","['Drama', 'Inmigración', 'Familia', 'Drama social']",6.3,914.0,6
Colonia ,2015,110 min.,Alemania,['Florian Gallenberger'],"['Florian Gallenberger', 'Torsten Wenzel']",['Fernando Velázquez'],['Kolja Brandt'],"['Emma Watson', 'Daniel Brühl', 'Michael Nyqvist', 'Julian Ovenden', 'Martin Wuttke', 'Vicky Krieps', 'Richenda Carey', 'August Zirner', 'Jeanne Werner']","['Majestic', 'Iris Productions', 'Rat Pack Filmproduktion', 'Rezo Productions', 'Fred Films']","['Thriller', 'Drama', 'Basado en hechos reales', 'Dictadura chilena', 'Años 70', 'Sectas']",5.9,3414.0,6
Sufragistas ,2015,106 min.,Reino Unido,['Sarah Gavron'],['Abi Morgan'],['Alexandre Desplat'],['Eduard Grau'],"['Carey Mulligan', 'Helena Bonham Carter', 'Anne-Marie Duff', 'Brendan Gleeson', 'Ben Whishaw', 'Meryl Streep', 'Romola Garai', 'Samuel West', 'Geoff Bell', 'Natalie Press', 'Lee Nicholas Harris', 'Richard Banks', 'Adrian Schiller', 'Judit Novotnik', 'Morgan Watkins']","['Film4 Productions', 'Pathé', 'Ruby Films']","['Drama', 'Histórico', 'Política', 'Años 1910-1919', 'Feminismo']",6.8,12594.0,6
Camp X-Ray ,2014,111 min.,Estados Unidos,['Peter Sattler'],['Peter Sattler'],['Jess Stroup'],['James Laxton'],"['Kristen Stewart', 'Peyman Moaadi', 'Lane Garrison', 'Joseph Julian Soria', 'Cory Michael Smith', 'Tara Holt', 'Yousuf Azami', 'John Carroll Lynch', ""Ser'Darius William Blain"", 'Julia Duffy', 'Nawal Bengholam', 'Marco Khan', 'Anoop Simon', 'Mark Naji', 'Robert Tarpinian']",['Gina Kwon'],"['Drama', 'Política', 'Drama carcelario', 'Cine independiente USA']",6.1,1877.0,6
Siempre Alice ,2014,101 min.,Estados Unidos,"['Richard Glatzer', 'Wash Westmoreland']","['Richard Glatzer', 'Wash Westmoreland', 'Lisa Genova']",['Ilan Eshkeri'],['Denis Lenoir'],"['Julianne Moore', 'Alec Baldwin', 'Kristen Stewart', 'Kate Bosworth', 'Hunter Parrish', 'Seth Gilliam', 'Erin Darke', 'Shane McRae', 'Stephen Kunken', 'Eha Urbsalu', 'Kristin Macomber', 'Cat Lynch', 'José Báez', 'Jamie Lee Petronis']","['Big Indie Pictures', 'Killer Films', 'Sony Pictures Classics']","['Drama', 'Enfermedad', 'Alzheimer', 'Discapacidad', 'Cine independiente USA']",6.8,13175.0,6
